PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,Rank
48.1,76.7,7.1,20.3,27.5,40.3,7.1,6.8,12.8,1.2,3.4,0.3,173,Very Unhealthy
37.1,71.9,7.2,20.2,27.4,39.3,7.2,8.7,7.9,0.9,3,0.2,175,Very Unhealthy
33.4,70.1,7.4,20.1,27.5,39.4,7.4,10,8.4,0.8,2.1,0.1,179,Very Unhealthy
38.6,70.2,7.4,20.2,27.6,39.9,7.4,9.7,6.3,1.3,2.8,0.3,174,Very Unhealthy
40.5,71.2,7.5,20.2,27.7,39.9,7.5,8.9,21.5,1.2,3,0.1,176,Very Unhealthy
41.4,72.3,7.5,20.2,27.7,40.4,7.5,11.7,19.8,1.8,2.9,0.2,179,Very Unhealthy
44.6,72.8,7.5,20.1,27.6,39.3,7.5,11.2,22.8,1.4,3.4,0.4,175,Very Unhealthy
65.7,83.3,7.6,19.9,27.5,42.3,7.6,8.2,30.2,3.6,5.8,1,177,Very Unhealthy
33.3,67.8,7.3,20.3,27.6,36.8,7.3,6.4,33,0,0,0,175,Very Unhealthy
39.2,69.1,7.4,20.2,27.6,38.4,7.4,9.2,26.6,0.8,0.8,0.1,174,Very Unhealthy
34,69.5,7.4,20.1,27.5,39,7.4,9.6,17.2,1.2,1.8,0.2,179,Very Unhealthy
36.4,71.5,7.3,20.1,27.5,39.5,7.3,10.7,13.4,2,4.3,0.4,177,Very Unhealthy
38.4,73.5,7.4,20.2,27.6,39.3,7.4,9.3,18.6,1.6,3.7,0.4,180,Very Unhealthy
38.5,87.9,12.4,19.7,30,52.6,12.4,10.4,16.3,1.6,3,0.4,274,Severe
39.6,67.3,17.3,14.8,32.2,67.1,17.3,10.8,5.4,1.7,3.2,0.2,310,Hazardous
61.8,74.1,17.2,14.8,32.1,68.7,17.2,12.4,8.1,0.9,1.8,0.2,303,Hazardous
43.2,65.2,17.2,14.8,32,64.8,17.2,11.7,37.9,1.3,3.1,0.1,302,Hazardous
33.4,59.5,17.1,14.9,32,59.8,17.1,13,86.8,1.1,2.1,0.1,302,Hazardous
36.9,62.4,17.1,14.9,31.9,62.3,17.1,4.7,54,0.9,1.3,0.2,302,Hazardous
36.4,61.3,17.1,14.8,31.9,59.8,17.1,8.9,77.3,0,0,0.1,302,Hazardous
32.6,60.7,17,14.8,31.9,60.4,17,7.1,62.3,0,0,0,302,Hazardous
38.2,62.6,17.1,14.9,32,61.5,17.1,10.9,55.9,0,0,0,302,Hazardous
